dacs,△G*oh,Z1,Z2,r1,r2,R1,R2,N1,N2,EP1,EP2,EA1,EA2,IE1,IE2
CrFe,0.10991845,24,26,128.0,126.0,189,194,6,8,1.66,1.83,0.675928,0.153236,6.7665,7.9024
PtCu,1.90599745,78,29,138.5,128.0,209,186,10,11,2.2,1.9,2.1251,1.23578,8.9588,7.7264
NiZn,1.70836545,28,30,124.0,134.0,184,210,10,12,1.91,1.65,1.157368,-0.6,7.6399,9.3942
OsCu,0.82062245,76,29,135.0,128.0,216,186,8,11,2.2,1.9,1.077661,1.23578,8.4382,7.7264
WTc,-2.01447355,74,43,139.0,136.0,210,209,6,7,1.7,2.1,0.8165,0.636,7.864,7.28
AgCo,1.86840645,47,27,144.0,125.0,203,192,11,9,1.93,1.88,1.30447,0.662255,7.5762,7.881
FeMn,0.73502745,26,25,126.0,127.0,194,197,8,7,1.83,1.55,0.153236,-0.5,7.9024,7.434
SnFe,-2.18409555,50,26,151.0,126.0,233,194,14,8,1.96,1.83,1.11207,0.153236,7.3439,7.9024
OsPd,0.79384445,76,46,135.0,137.0,216,202,8,10,2.2,2.2,1.077661,0.56214,8.4382,8.3369
PdAg,1.76276645,46,47,137.0,144.0,202,203,10,11,2.2,1.93,0.56214,1.30447,8.3369,7.5762
CrOs,-0.06529555,24,76,128.0,135.0,189,216,6,8,1.66,2.2,0.675928,1.077661,6.7665,8.4382
RuCr,0.54067045,44,24,134.0,128.0,207,189,8,6,2.2,1.66,1.04627,0.675928,7.3605,6.7665
IrAu,0.50881545,77,79,135.5,144.0,202,217,9,11,2.2,2.4,1.564057,2.30861,8.967,9.2255
ZrSn,-7.23764555,40,50,160.0,151.0,186,233,4,14,1.33,1.96,0.433283,1.11207,6.6339,7.3439
ZrZr,-5.97739355,40,40,160.0,160.0,186,186,4,4,1.33,1.33,0.433283,0.433283,6.6339,6.6339
MnIr,0.69041845,25,77,127.0,135.5,197,202,7,9,1.55,2.2,-0.5,1.564057,7.434,8.967
AuAu,1.77923345,79,79,144.0,144.0,217,217,11,11,2.4,2.4,2.30861,2.30861,9.2255,9.2255
FeNi,0.79635245,26,28,126.0,124.0,194,184,8,10,1.83,1.91,0.153236,1.157368,7.9024,7.6399
AuPd,1.85978445,79,46,144.0,137.0,217,202,11,10,2.4,2.2,2.30861,0.56214,9.2255,8.3369
FeAg,0.72552145,26,47,126.0,144.0,194,203,8,11,1.83,1.93,0.153236,1.30447,7.9024,7.5762
ZnZn,0.41461045,30,30,134.0,134.0,210,210,12,12,1.65,1.65,-0.6,-0.6,9.3942,9.3942
CrRh,0.000141,24,45,128.0,134.0,189,195,6,9,1.66,2.28,0.675928,1.14289,6.7665,7.4589
CoAu,1.01235445,27,79,125.0,144.0,192,217,9,11,1.88,2.4,0.662255,2.30861,7.881,9.2255
PtOs,2.19414045,78,76,138.5,135.0,209,216,10,8,2.2,2.2,2.1251,1.077661,8.9588,8.4382
ZrTc,-3.62110155,40,43,160.0,136.0,186,209,4,7,1.33,2.1,0.433283,0.636,6.6339,7.28
OsOs,0.67189645,76,76,135.0,135.0,216,216,8,8,2.2,2.2,1.077661,1.077661,8.4382,8.4382
CdMn,-1.43726355,48,25,148.9,127.0,230,197,12,7,1.69,1.55,-0.7,-0.5,8.9938,7.434
MnRu,0.68791545,25,44,127.0,134.0,197,207,7,8,1.55,2.2,-0.5,1.04627,7.434,7.3605
ZnOs,-0.43331955,30,76,134.0,135.0,210,216,12,8,1.65,2.2,-0.6,1.077661,9.3942,8.4382
ReV,-0.62708755,75,23,137.0,134.0,217,179,7,5,1.9,1.63,0.060396,0.52766,7.8335,6.7462
VCo,-1.05361655,23,27,134.0,125.0,179,192,5,9,1.63,1.88,0.52766,0.662255,6.7462,7.881
TcRh,-0.20443655,43,45,136.0,134.0,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589
RuNi,0.90373845,44,28,134.0,124.0,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399
TcMn,-0.06750155,43,25,136.0,127.0,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434
MnAu,0.27586145,25,79,127.0,144.0,197,217,7,11,1.55,2.4,-0.5,2.30861,7.434,9.2255
MoW,-1.82345055,42,74,139.0,139.0,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864
PdCo,2.06075445,46,27,137.0,125.0,202,192,10,9,2.2,1.88,0.56214,0.662255,8.3369,7.881
MoNb,-1.99288055,42,41,139.0,146.0,209,207,6,5,2.16,1.6,0.74723,0.9174,7.0924,6.7589
PdIr,1.75876645,46,77,137.0,135.5,202,202,10,9,2.2,2.2,0.56214,1.564057,8.3369,8.967
NiCo,1.92014045,28,27,124.0,125.0,184,192,10,9,1.91,1.88,1.157368,0.662255,7.6399,7.881
TiNb,-3.42692555,22,41,147.0,146.0,187,207,4,5,1.54,1.6,0.07554,0.9174,6.8281,6.7589
VRe,-1.22111155,23,75,134.0,137.0,179,217,5,7,1.63,1.9,0.52766,0.060396,6.7462,7.8335
CuRu,1.32966945,29,44,128.0,134.0,186,207,11,8,1.9,2.2,1.23578,1.04627,7.7264,7.3605
IrCr,1.80350345,77,24,135.5,128.0,202,189,9,6,2.2,1.66,1.564057,0.675928,8.967,6.7665
AgPt,1.52520045,47,78,144.0,138.5,203,209,11,10,1.93,2.2,1.30447,2.1251,7.5762,8.9588
MnCr,0.41408845,25,24,127.0,128.0,197,189,7,6,1.55,1.66,-0.5,0.675928,7.434,6.7665
CoOs,1.68695445,27,76,125.0,135.0,192,216,9,8,1.88,2.2,0.662255,1.077661,7.881,8.4382
IrRu,1.71470145,77,44,135.5,134.0,202,207,9,8,2.2,2.2,1.564057,1.04627,8.967,7.3605
CoCr,1.73694345,27,24,125.0,128.0,192,189,9,6,1.88,1.66,0.662255,0.675928,7.881,6.7665
NiIr,1.61785845,28,77,124.0,135.5,184,202,10,9,1.91,2.2,1.157368,1.564057,7.6399,8.967
IrFe,1.79024545,77,26,135.5,126.0,202,194,9,8,2.2,1.83,1.564057,0.153236,8.967,7.9024
RhPt,1.12001445,45,78,134.0,138.5,195,209,9,10,2.28,2.2,1.14289,2.1251,7.4589,8.9588
NbMo,-3.08096955,41,42,146.0,139.0,207,209,5,6,1.6,2.16,0.9174,0.74723,6.7589,7.0924
OsCo,0.92975345,76,27,135.0,125.0,216,192,8,9,2.2,1.88,1.077661,0.662255,8.4382,7.881
IrAg,0.57953645,77,47,135.5,144.0,202,203,9,11,2.2,1.93,1.564057,1.30447,8.967,7.5762
TiCr,-2.30678355,22,24,147.0,128.0,187,189,4,6,1.54,1.66,0.07554,0.675928,6.8281,6.7665
RuIr,0.81240545,44,77,134.0,135.5,207,202,8,9,2.2,2.2,1.04627,1.564057,7.3605,8.967
OsMn,0.97636645,76,25,135.0,127.0,216,197,8,7,2.2,1.55,1.077661,-0.5,8.4382,7.434
